pseudoword,ambiguity_reduction,ambiguity_drop,L1,L2,|synsets_L1|,|synsets_L2|,|synsets_L1_L2|,synsets_intersection
slice-corte,0.9642857142857144,0.954395342946116,EN,ES,24,32,1,['bn:00024603n']
lap-vuelta,0.9523809523809524,0.9523809523809524,EN,ES,21,21,1,['bn:00019171n']
plain-simple,0.95,0.95,EN,FR,20,20,1,['bn:00108648a']
smooth-suave,0.9574468085106383,0.9467682240615688,EN,ES,27,20,1,['bn:00110803a']
mount-monte,0.9655172413793104,0.9446261756364116,EN,ES,23,35,1,['bn:00056068n']
issue-tema,0.951219512195122,0.9441197002089904,EN,ES,23,18,1,['bn:00047690n']
thin-fino,0.9428571428571428,0.94247222463622,EN,ES,18,17,1,['bn:00111843a']
paint-peinture,0.9393939393939394,0.9389625299845544,EN,FR,17,16,1,['bn:00060187n']
pink-rose,0.945945945945946,0.9372689514884112,EN,FR,42,32,2,"['bn:00062507n', 'bn:00108605a']"
or-o,0.9555555555555556,0.9362494127971258,EN,ES,27,18,1,['bn:00058390n']
fuga-escapar,0.9393939393939394,0.935504092708548,IT,ES,18,15,1,['bn:00031545n']
fine-fino,0.9523809523809524,0.9349445863078596,IT,ES,25,17,1,['bn:00102975a']
loud-fuerte,0.9365079365079364,0.933553831814913,EN,ES,29,34,2,"['bn:00106192a', 'bn:00103242a']"
kind-tipo,0.9310344827586208,0.9304807898861231,EN,IT,14,15,1,['bn:00035907n']
stream-flux,0.9375,0.9301469452961452,EN,FR,18,14,1,['bn:00035374n']
rig-plataforma,0.945945945945946,0.9288627821190258,EN,ES,22,15,1,['bn:03195382n']
sugar-sucre,0.9565217391304348,0.9287706078465038,EN,FR,57,35,2,"['bn:00015853n', 'bn:00066804n']"
pump-bomba,0.9411764705882352,0.9264055657124712,EN,ES,20,14,1,['bn:00065198n']
travel-viaggio,0.9285714285714286,0.9261995947397768,EN,IT,15,13,1,['bn:00078085n']
soon-presto,0.925925925925926,0.925290642196985,EN,IT,14,13,1,['bn:00114513r']
tiny-pequeño,0.925925925925926,0.925290642196985,EN,ES,13,14,1,['bn:00098029a']
vista-ver,0.9661016949152542,0.9251289547073318,IT,ES,21,38,1,['bn:00009669n']
wish-desiderio,0.9591836734693876,0.9248105874516164,EN,IT,31,18,1,['bn:00081411n']
band-groupe,0.9272727272727272,0.9234330721574704,EN,FR,30,25,2,"['bn:00008279n', 'bn:00008280n']"
nice-bello,0.9565217391304348,0.9234012719203014,EN,IT,29,17,1,['bn:00107292a']
take in-prendre,0.9565217391304348,0.9234012719203014,EN,FR,17,29,1,['bn:00085689v']
bread-pan,0.9375,0.920873065166116,EN,ES,13,19,1,['bn:00012873n']
ace-asso,0.9375,0.920873065166116,ES,IT,19,13,1,['bn:00213010n']
bomb-bomba,0.945945945945946,0.9175347634367024,EN,ES,23,14,1,['bn:00011917n']
retreat-retiro,0.9215686274509804,0.9171290186868548,EN,ES,28,23,2,"['bn:00067458n', 'bn:00067465n']"
holy-saint,0.9310344827586208,0.9170918790518762,EN,FR,17,12,1,['bn:00104250a']
salto-saltar,0.9411764705882352,0.9147522016253732,IT,ES,13,21,1,['bn:00048558n']
gioco-jouer,0.9148936170212766,0.9146865103707404,IT,FR,24,23,2,"['bn:00037180n', 'bn:00018350n']"
like-como,0.9473684210526316,0.9139763158914695,EN,ES,24,14,1,['bn:00105977a']
abilità-compétence,0.9166666666666666,0.9134782512091346,IT,FR,13,11,1,['bn:00000725n']
offrir-oferta,0.9166666666666666,0.9134782512091346,FR,ES,11,13,1,['bn:00083472v']
ruffle-volante,0.9166666666666666,0.9134782512091346,EN,ES,13,11,1,['bn:00035357n']
turn out-resultar,0.9130434782608696,0.9121800799795736,EN,ES,12,11,1,['bn:00095259v']
notice-aviso,0.9230769230769232,0.912087520378589,EN,ES,15,11,1,['bn:00058164n']
screw-vite,0.935483870967742,0.9113223667964692,EN,IT,19,12,1,['bn:00069865n']
advocate-defensor,0.925925925925926,0.9099107792470232,EN,ES,16,11,1,['bn:00001603n']
decline-descenso,0.925925925925926,0.9099107792470232,EN,ES,16,11,1,['bn:00025742n']
mad-loco,0.9402985074626866,0.9095269859650148,EN,ES,42,25,2,"['bn:00098805a', 'bn:00052329n']"
funny-divertido,0.9090909090909092,0.9090909090909092,EN,ES,11,11,1,['bn:00097006a']
recall-retirada,0.9285714285714286,0.907001664822987,EN,ES,17,11,1,['bn:00066477n']
submit-presentare,0.9090909090909092,0.9053265413308532,EN,IT,12,10,1,['bn:00094523v']
assunzione-supuesto,0.9047619047619048,0.9037355154300626,IT,ES,11,10,1,['bn:00006559n']
side-lateral,0.9583333333333334,0.903525331516144,EN,ES,32,16,1,['bn:00110607a']
wise-sage,0.945945945945946,0.9031749607639872,EN,FR,24,13,1,['bn:00113905a']
handle-asa,0.92,0.9014122253442096,EN,ES,10,15,1,['bn:00041820n']
beam-haz,0.9411764705882352,0.8995475050115943,EN,ES,22,12,1,['bn:00009316n']
foul-falta,0.9411764705882352,0.8995475050115943,EN,ES,22,12,1,['bn:05862420n']
boot-arranque,0.9473684210526316,0.8988908997001636,EN,ES,25,13,1,['bn:03140436n']
costante-stable,0.9230769230769232,0.8981617022963444,IT,FR,16,10,1,['bn:00074088n']
provision-disposition,0.9,0.8954886933959579,EN,FR,9,11,1,['bn:00064921n']
tape-bande,0.9428571428571428,0.895081101963417,EN,FR,23,12,1,['bn:00076100n']
poverty-pobreza,0.8947368421052632,0.8934967350060241,EN,ES,10,9,1,['bn:00046157n']
poetry-poesia,0.8947368421052632,0.8934967350060241,EN,IT,9,10,1,['bn:00063195n']
brand-marca,0.8928571428571429,0.8928571428571429,EN,ES,28,28,3,"['bn:00012758n', 'bn:00012759n', 'bn:00012762n']"
strong-forte,0.8983050847457628,0.8919602198695443,EN,IT,33,26,3,"['bn:00111312a', 'bn:00111313a', 'bn:00108863a']"
grand-grand,0.9032258064516128,0.8913998733440041,EN,FR,36,26,3,"['bn:03659340n', 'bn:03594448n', 'bn:03591139n']"
sporco-sale,0.9130434782608696,0.8912076195340579,IT,FR,9,14,1,['bn:00101429a']
poco-pequeño,0.9130434782608696,0.8912076195340579,IT,ES,9,14,1,['bn:00106059a']
plug-spina,0.9444444444444444,0.890430761494171,EN,IT,24,12,1,['bn:00030158n']
bottom-fond,0.9,0.8898173969978335,EN,FR,23,17,2,"['bn:00012366n', 'bn:00012365n']"
most-più,0.8947368421052632,0.8897660434092802,EN,IT,21,17,2,"['bn:00116290r', 'bn:00116291r']"
boat-barco,0.9166666666666666,0.8875586835058663,EN,ES,15,9,1,['bn:00011674n']
church-iglesia,0.8918918918918919,0.8866646416446081,EN,ES,41,33,4,"['bn:00018996n', 'bn:00018995n', 'bn:00018819n', 'bn:00186519n']"
passer-pase,0.9310344827586208,0.8850637724290986,FR,ES,19,10,1,['bn:00090286v']
suit-traje,0.9310344827586208,0.8850637724290986,EN,ES,19,10,1,['bn:00075103n']
repeat-ripetizione,0.8888888888888888,0.883384879999917,EN,IT,10,8,1,['bn:00067153n']
prima-premier,0.8888888888888888,0.883384879999917,IT,FR,20,16,2,"['bn:00034737n', 'bn:00103006a']"
piège-trampa,0.8888888888888888,0.883384879999917,FR,ES,20,16,2,"['bn:00078068n', 'bn:00019618n']"
tease-burlarse,0.92,0.8832,EN,ES,16,9,1,['bn:00083038v']
big-grande,0.9649122807017544,0.8828713629698879,EN,IT,40,17,1,['bn:00098342a']
passing-passaggio,0.8974358974358975,0.8828618188872855,EN,IT,23,16,2,"['bn:00060872n', 'bn:00060887n']"
save-guardar,0.8974358974358975,0.8828618188872855,EN,ES,23,16,2,"['bn:00090229v', 'bn:00091983v']"
proper-correcto,0.9,0.881816307401944,EN,ES,8,12,1,['bn:00109117a']
purchase-comprar,0.8823529411764706,0.8808250561493325,EN,ES,8,9,1,['bn:00084331v']
doctor-medico,0.8823529411764706,0.8808250561493325,ES,IT,9,8,1,['bn:00027976n']
riprendere-prendre,0.9523809523809524,0.8805663419023855,IT,FR,13,29,1,['bn:00088192v']
caccia-cazar,0.9333333333333332,0.8799551054765925,IT,ES,20,10,1,['bn:00045245n']
photograph-fotografia,0.9230769230769232,0.8782946894806851,EN,IT,17,9,1,['bn:00032381n']
flap-lembo,-1.0,0.8782178207271372,EN,IT,17,6,0,[]
report-rapporto,0.8823529411764706,0.8762254160623253,EN,IT,19,15,2,"['bn:00000739n', 'bn:00067181n']"
set up-establecer,0.8823529411764706,0.8762254160623253,EN,ES,19,15,2,"['bn:00087735v', 'bn:00087732v']"
pick up-raccogliere,0.8918918918918919,0.8757849088550815,EN,IT,22,15,2,"['bn:00091599v', 'bn:00088698v']"
pole-palo,0.9487179487179488,0.8757396449704142,EN,IT,27,12,1,['bn:00063293n']
staff-personal,0.8787878787878788,0.8751489899531579,EN,ES,15,18,2,"['bn:00073801n', 'bn:00073805n']"
opponent-avversario,0.875,0.875,EN,IT,8,8,1,['bn:00001582n']
friend-amico,0.9090909090909092,0.8746285325833357,EN,IT,28,16,2,"['bn:00036538n', 'bn:00002956n']"
care-atención,0.9111111111111112,0.8722637317235147,EN,ES,29,16,2,"['bn:00002157n', 'bn:00016015n']"
cap-tapa,0.9365079365079364,0.8718667872192448,EN,ES,43,20,2,"['bn:00015402n', 'bn:00051011n']"
blade-lama,0.9322033898305084,0.8711550489686437,EN,IT,40,19,2,"['bn:00011086n', 'bn:00011081n']"
away-via,0.9545454545454546,0.8710166485487177,EN,IT,31,13,1,['bn:00114455r']
semplice-mero,0.9130434782608696,0.8697295809155757,IT,ES,15,8,1,['bn:00104264a']
launch-lanzar,0.8787878787878788,0.868642215755193,EN,ES,14,19,2,"['bn:00090214v', 'bn:00087732v']"
stampa-imprimer,0.8823529411764706,0.8685052178554418,IT,FR,10,7,1,['bn:00064453n']
huge-enorme,0.875,0.8681371489430688,EN,ES,7,9,1,['bn:00098905a']
modo-camino,0.875,0.8681371489430688,IT,ES,21,27,3,"['bn:00027352n', 'bn:00061005n', 'bn:00001965n']"
